Frequency_hz,SamplingRate_hz,Duration_s,TotalSamples,ChannelA_yAmp,ChannelB_yAmp,ChA_05f_amp,ChA_2f_amp,ChA_3f_amp,ChA_4f_amp,ChB_05f_amp,ChB_2f_amp,ChB_3f_amp,ChB_4f_amp
0.0,24999.999999999996,199.98384000000001,4999596,7451904372.997221,7131334572.283094,7451904372.997221,7451904372.997221,7451904372.997221,7451904372.997221,7131334572.283094,7131334572.283094,7131334572.283094,7131334572.283094
0.01,24999.999999999996,199.98244000000003,4999561,1907527138.8978038,1804696254.678308,269073.03627309395,66893568.00044788,32473185.812833954,7936773.407804641,1037211.5566417386,60049664.42773464,28444036.301762335,7705949.318749961
0.02,24999.999999999996,199.9824,4999560,1909512477.9075701,1807518729.186234,711826.6945426621,68205727.26334114,31789977.32509923,8079814.861803767,1317552.635133981,61284994.37918373,27609405.13344664,8106827.92732283
0.05,24999.999999999996,199.98532000000003,4999633,1914451871.4011874,1810036987.5229566,4278151.564926305,67156912.31846347,35161670.819452964,12043845.870184015,3996248.392288566,60343648.72900622,31047260.553276762,11775651.01005864
0.1,24999.999999999996,199.98528000000002,4999632,1913789237.7831624,1809200179.7654114,20464389.490793183,50281003.33744271,37921287.63323388,18538708.3752755,18718771.574633837,44910345.76901262,34076228.88555379,18173812.143795293
0.22,24999.999999999996,199.9824,4999560,1887991101.3078632,1784893614.5420287,30011859.411053028,78304246.56392425,33293284.907662287,6283057.086516329,28415272.230168477,71414335.00993772,29519340.02087158,6460181.601066021
0.5,24999.999999999996,199.98528000000002,4999632,1894982265.7113504,1790828035.1544402,31027640.552353483,66757274.64456206,32255769.48804083,8002118.718468425,29423511.556837514,60448254.22673105,28614575.73779213,8267447.080090575
1.0,24999.999999999996,199.98384000000001,4999596,1895032449.725028,1791407004.0966198,507745.438249241,67034263.4666322,32070889.93863596,7766835.074988946,509799.0488627063,60719313.04834447,28477568.572237432,8104759.875595386
2.24,24999.999999999996,199.98528000000002,4999632,1891785777.050641,1788687056.2103586,3746512.471420071,67648775.64704347,31537210.41643431,7270056.446262336,3725640.2425596067,60818106.75839318,27942878.666993726,7620473.45527196
5.0,24999.999999999996,199.98244000000003,4999561,1810909986.4568336,1712446684.6601646,4067535.0782178557,53326054.34429827,21067893.95332622,3982999.5498734834,3842745.7578888284,47811707.5401032,18641775.663709305,4247014.561881847
10.0,24999.999999999996,199.9824,4999560,1718999994.3056407,1626582515.444461,1025045.8483727033,39832204.47219034,11681572.128231265,3558189.4126530685,844299.9331029737,35820894.26546386,10380591.999023996,4374471.224790333
20.0,24999.999999999996,199.98384000000001,4999596,902225057.8470101,856712150.5317316,10582139.587602295,25052566.047598142,11677811.829381682,2615111.2720446913,9825347.399569392,23056560.314380717,11422594.086510744,3061024.0738890995
